#
#
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; z_m; theta_rad; phi_rad; vy_mps; vz_mps
19.930547;14.651100;-8.477800;-0.504882;-0.165296;2.620800;-3.036234;19.608299;-0.725933;-2.127690;0.275500;-0.029400
20.032494;14.739700;-8.530600;-0.539828;-0.140665;2.507400;-2.269193;19.525600;-0.770305;-2.124028;0.013500;-0.199500
20.136966;14.826000;-8.582600;-0.532624;-0.126932;2.717900;4.232833;19.438601;-0.769317;-2.117601;0.084600;-0.221000
20.245591;14.919700;-8.636700;-0.564897;-0.169452;2.744000;0.519975;19.351299;-0.770747;-2.149026;0.269900;-0.290300
20.353788;15.009500;-8.698900;-0.570700;0.050384;3.037100;5.909741;19.260401;-0.744548;-2.179284;0.052700;-0.294200
20.469630;15.101800;-8.753600;-0.555075;-0.041862;3.250600;5.358429;19.183500;-0.734187;-2.172820;0.170800;-0.373600
20.585428;15.206400;-8.821000;-0.579379;-0.076725;3.269700;0.379714;19.082701;-0.747112;-2.185806;0.040000;-0.198200
20.700195;15.295600;-8.880400;-0.572778;0.105082;3.326300;1.426377;19.004000;-0.745530;-2.180503;0.220800;-0.183600
20.812736;15.399300;-8.945400;-0.554972;-0.016521;3.252100;-1.484078;18.904600;-0.753862;-2.154418;0.230800;-0.296300
20.921713;15.486900;-8.999000;-0.577566;-0.269495;3.293100;1.023957;18.824400;-0.784300;-2.149367;0.220000;-0.080300
21.029692;15.581900;-9.064400;-0.613307;-0.013663;3.181600;-2.797710;18.722401;-0.797429;-2.172824;0.394200;-0.173700
21.134298;15.663500;-9.123300;-0.579120;0.088921;3.149300;-0.804761;18.643499;-0.827496;-2.111987;0.242800;-0.253100
21.246392;15.757000;-9.178900;-0.594685;-0.634706;3.207400;1.152008;18.531900;-0.876850;-2.083359;0.619900;-0.366400
21.359905;15.849200;-9.248900;-0.721194;-0.991279;3.232800;0.509867;18.420300;-0.905500;-2.174664;0.266700;-0.403500
21.475550;15.927500;-9.328800;-0.819952;-0.532942;3.295600;1.576315;18.314600;-0.964155;-2.210204;0.219500;-0.498700
21.589609;16.007000;-9.418000;-0.846809;-0.115165;3.508000;4.268642;18.192900;-0.971927;-2.228170;0.101500;-0.576600
21.708904;16.078600;-9.499700;-0.845895;0.071156;3.802200;7.356102;18.093201;-0.914492;-2.286513;0.082500;-0.436400
21.837129;16.165199;-9.596600;-0.830913;0.256901;4.159800;8.786872;17.987499;-0.890318;-2.296218;0.028300;-0.215900
21.960241;16.251499;-9.689100;-0.776785;0.278629;4.210000;1.267194;17.879601;-0.888878;-2.244300;0.296400;-0.169100
22.076552;16.340799;-9.769200;-0.763811;-0.271114;3.916000;-7.313299;17.771200;-0.908626;-2.212141;0.413900;-0.239700
22.192555;16.419500;-9.850000;-0.840891;-0.385572;3.851000;-1.654210;17.664101;-0.965132;-2.229447;0.211700;-0.286800
22.311053;16.495501;-9.942100;-0.852880;0.146015;4.048200;4.834082;17.547800;-0.967558;-2.238651;0.150600;-0.124500
22.427042;16.575399;-10.028500;-0.805519;0.210934;3.937200;-2.768329;17.437799;-0.932264;-2.228700;0.545900;0.030600
22.546283;16.656200;-10.109400;-0.804970;-0.359274;3.755100;-4.624698;17.331301;-0.962957;-2.197112;0.445000;0.099600
22.666484;16.740700;-10.200400;-0.890601;-0.566865;3.478400;-5.489715;17.200199;-1.048544;-2.189169;0.676500;-0.161800
22.786537;16.807400;-10.296300;-0.942118;-0.222939;3.448700;-0.586252;17.068600;-1.084032;-2.199993;0.592900;-0.358400
22.900113;16.881901;-10.394600;-0.944202;-0.428802;3.702700;5.146508;16.933399;-1.070414;-2.217706;0.578400;-0.402200
23.007089;16.940599;-10.480300;-1.045449;-1.030720;3.849100;3.673121;16.825001;-1.116837;-2.270480;0.648500;-0.239100
23.115697;16.989201;-10.579700;-1.157195;-1.073317;3.853000;0.097430;16.713499;-1.195664;-2.302038;0.317300;-0.091300
23.230839;17.027901;-10.679200;-1.273766;-0.729774;3.752200;-2.508002;16.603300;-1.308956;-2.289937;0.553700;-0.160700
23.355296;17.056601;-10.799900;-1.327773;-0.306536;3.635700;-2.336551;16.462000;-1.351226;-2.303693;0.465100;-0.121800
23.469972;17.087799;-10.920800;-1.356386;-0.234996;3.557700;-1.548961;16.334900;-1.365455;-2.333946;0.333600;-0.066300
23.583085;17.105400;-11.024000;-1.379551;-0.352656;3.554800;-0.073458;16.227699;-1.388449;-2.331820;0.510900;-0.010800
23.695857;17.130800;-11.142900;-1.436047;-0.559923;3.403000;-3.009313;16.101700;-1.445930;-2.317714;0.367300;0.104300
